yellow	colour, color, |0.0|.1|2
outcry	surpass, outgo, exceed, outdo, outperform, cry, shout, express, utter, |0.0|.1|9
type	write, identify, |0.0|.1|2
culminate*	climax, end, stop, finish, terminate, cease, end, terminate, achieve, accomplish*, attain, reach, reach, make, attain, hit, gain, form, |1.0|.1|18
choke^	breathe, fret, squeeze, compact, contract, press, squeeze, compact, contract, press, strangle, squeeze, compact, contract, press, strangle, suffocate, suffer, hurt^, fail^, neglect, suppress, clog, congest, foul^, obstruct, impede, jam, block, suffocate, stifle, obstruct, impede, jam, block, suffocate, become, turn, suffocate, stifle, die, go, exit, expire^, pass, conk, turn, enrich, |-1.0|.1|48
win*	acquire, gain, get, acquire, gain, advance, succeed*, |1.0|.1|7
revolt^	rebel, arise*, rise, disgust, stimulate, excite, stir, disgust, |-1.0|.1|8
preside	control, command, |0.0|.1|2
keep	maintain, hold, continue, proceed, act, move, have, hold, prevent, observe, observe, maintain, have, hold, maintain, record, enter, accommodate, retain, continue, prolong, sustain*, sustain*, maintain, have, hold, stay, remain, rest, observe, celebrate, restrain, suppress, prevent, preserve*, protect, grow, raise, farm, produce, save, reserve, hold, book, store, have, hold, maintain, have, hold, confine, detain, preserve*, cook, fix, ready, make, prepare, |0.0|.1|58
wing	fly, travel, go, move, |0.0|.1|4
wine	drink, booze, treat, |0.0|.1|3
undo	turn, reverse, unmake, ruin, loosen, change, alter, modify, uncover, expose, |0.0|.1|10
vary	change, alter, diverge, depart, differ, differ, diversify, |0.0|.1|7
partner	supply, provide, furnish, act, move, |0.0|.1|5
outdo	surpass, outgo, exceed, outperform, beat, crush, shell, vanquish, trump, best, scoop, beat, crush, shell, vanquish, |0.0|.1|15
introvert	change, alter, modify, |0.0|.1|3
reward*	honour, recognize, reinforce, teach, learn, instruct, repay, act, move, |1.0|.1|9
subordinate	rate, rank, range, order, grade, place, subdue, lower, |0.0|.1|8
scream	shout, cry, call, squall, utter, emit, shout, resound, noise, |0.0|.1|9
secede^	splinter, separate, part, split, break, |-1.0|.1|5
hide	conceal, cover, envelop, wrap, obscure, veil, change, alter, modify, |0.0|.1|9
copy	write, imitate, simulate, reproduce, replicate, double, repeat, replicate, make, create, |0.0|.1|10
slate	intend, destine, designate, specify, register, roof, |0.0|.1|6
effect	cause, do, make, act, move, |0.0|.1|5
school	educate, educate, train, cultivate, civilize, polish, refine, down, swim, |0.0|.1|9
comprise	consist, be, incorporate, contain, include, constitute, represent, be, |0.0|.1|8
silver	plate, color, colour, colour, color, |0.0|.1|5
rumour	rumor, |0.0|.1|1
represent	correspond, equal, be, mean, intend, be, serve, express, utter, exemplify, be, constitute, comprise, be, defend, interpret, act, play, stage, present, describe, depict, draw, present, state, say, tell, map, commute, transpose, |0.0|.1|30
queue	stand, |0.0|.1|1
debut	introduce, play, perform, |0.0|.1|3
armour	equip, fit, outfit, |0.0|.1|3
crop	cut, cultivate, work, fix, prepare, ready, set, bear, graze, feed, give, browse, graze, range, feed, eat, clip, trim, dress, |0.0|.1|19
captivate*	capture, catch, beguile, charm, fascinate*, entrance, enchant, attract, appeal, |1.0|.1|9
precede	forego, forgo, lie, lead, travel, go, move, introduce, state, say, tell, |0.0|.1|11
snake	glide, wind, twist, curve, weave, wind, thread, wander, |0.0|.1|8
ticket	fine, book, supply, provide, furnish, |0.0|.1|5
contract	undertake, promise, assure*, sign, hire, engage, employ, squeeze, compact, press, tighten, shrink, decrease^, diminish, lessen, fall, take, get, shrink, reduce, concentrate, change, alter, modify, narrow, change, shorten, cut, reduce, decrease^, lessen, |0.0|.1|31
strip	deprive, take, unclothe, peel, remove, take, withdraw, remove, take, withdraw, bare, clear, plunder, rifle, ransack, foray, take, clean, remove, take, withdraw, remove, take, withdraw, smooth, remove, take, withdraw, dismantle, remove, take, withdraw, milk, disinvest, remove, take, withdraw, |0.0|.1|37
deposit	wedge, stick, fix, secure, bank, give, fix, put, set, place, pose, position, lay, |0.0|.1|13
reload	load, charge, load, lade, laden, |0.0|.1|5
allay	still, relieve, ease, comfort, soothe, console, solace, meet, satisfy, fill, fulfill, fulfil, |0.0|.1|12
trick	|0.0|.1|0
ring	sound, go, resound, echo, sound, go, sound, surround, circle, round, hold, bear, carry, contain, call, telephone, phone, band, attach, |0.0|.1|19
whip	flog, lash, slash, strap, beat, worst, pip, beat, crush, shell, vanquish, thrash, slash, toss, lash, strike, beat, scramble, attack, round, assail, assault, |0.0|.1|22
trend	sheer, curve, slew, cut, turn, |0.0|.1|5
freeze	turn, suffer, change, alter, modify, suspend, interrupt, break, solidify, block, withhold, act, behave, do, |0.0|.1|14
encourage*	promote, advance, boost, further, support, inspire, animate, induce, stimulate, cause, have, get, make, |1.0|.1|13
adapt*	accommodate, change, alter, vary, adjust, conform, change, |1.0|.1|7
engineer	design, plan, direct, organize, organise, plan, |0.0|.1|6
assure*	guarantee, ensure, insure, secure, tell, affirm, verify, assert, aver, swan, swear, persuade, see, check, insure, ensure, control, verify, quiet, tranquillise, quieten, still, promise, declare, |1.0|.1|24
