yellow	colour, color, |0.0|.1|2
terminate	end, change, alter, modify, end, stop, finish, cease, end, be, fire, can, dismiss, sack, remove, |0.0|.1|15
house	accommodate, hold, admit, shelter, |0.0|.1|4
function	work, operate, go, run, serve, suffice, do, answer, serve, serve, |0.0|.1|10
funnel	move, displace, |0.0|.1|2
privilege	favor, favour, permit, allow, let, |0.0|.1|5
toss	sky, pitch, fling, turn, chuck, throw, thrash, slash, shake, agitate, fling, dispose, remove, agitate, vex, disturb, |0.0|.1|16
smooth	polish, shine, free, |0.0|.1|3
place	put, set, pose, position, lay, move, delegate, designate, assign, rate, rank, range, order, grade, evaluate, judge, locate, site, station, post, base, send, order, rank, target, aim, direct, point, aim, take, train, direct, identify, determine, set, delegate, designate, assign, set, stage, present, represent, put, set, estimate, gauge, guess, judge, locate, invest, put, commit, spend, expend, drop, station, post, base, send, move, race, run, sing, |0.0|.1|63
convince	convert, persuade, |0.0|.1|2
scrabble	feel, write, |0.0|.1|2
bear	have, feature, deliver, birth, have, produce, digest, endure, stomach, stand, tolerate, support, brook, abide, suffer, permit, allow, let, transport, carry, make, create, accept, assume, take, hold, carry, contain, include, yield, pay, gain, clear, make, earn, realize, realise, wear, have, feature, behave, conduct, carry, hold, carry, act, move, hold, have, hold, hold, carry, carry, expect, deliver, birth, have, |0.0|.1|57
recognize	acknowledge, know, accept, realize, realise, know, remember, retrieve, recall, think, license, licence, certify, greet, address, acknowledge, thank, be, prize, value, treasure, appreciate*, |0.0|.1|22
hunker	squat, crouch, sit, |0.0|.1|3
consume	down, eat, take, have, squander, waste, ware, spend, expend, drop, destroy, ruin, eat, deplete, exhaust, spend, expend, drop, absorb, engross, engage, occupy, |0.0|.1|22
plunder	steal, sack, take, strip, rifle, ransack, foray, take, rape, spoil, violate, destroy, ruin, |0.0|.1|13
compare	analyze, analyse, study, examine, canvas, be, liken, equate, study, consider, |0.0|.1|10
forest	set, |0.0|.1|1
behold	see, |0.0|.1|1
bail	free, release, loose, deliver, guarantee, vouch, empty, remove, take, withdraw, |0.0|.1|10
baffle	vex, stick, get, puzzle, beat, pose, bewilder, gravel, amaze, confuse, throw, befuddle, confound, spoil, cross, frustrate, prevent, forestall, foreclose^, preclude, forbid, regulate, restrict, restrain, limit, bound, confine, |0.0|.1|27
chance	happen, occur, pass, gamble, risk, hazard, adventure, seek, attempt, essay, find, happen, bump, encounter, |0.0|.1|14
pacify	appease, placate, gentle, calm, quiet, tranquillise, quieten, still, establish, give, |0.0|.1|10
repeal	revoke, lift, reverse, overturn, cancel, |0.0|.1|5
veil	hide, conceal, obscure, hide, change, alter, modify, |0.0|.1|7
vein	stain, |0.0|.1|1
cajole	persuade, |0.0|.1|1
last	endure, measure, survive, live, go, endure, |0.0|.1|6
rule	govern, control, command, decree, decide, determine, dominate, reign, prevail, find, pronounce, label, judge, accompany, draw, rein, restrict, restrain, limit, bound, confine, |0.0|.1|21
compete	vie, contend, |0.0|.1|2
pension	award, grant, |0.0|.1|2
garden	tend, |0.0|.1|1
buoy	float, swim, hold, support, sustain*, mark, |0.0|.1|6
consolidate	unify, unite, merge, strengthen, unite, unify, merge, solidify, solidify, |0.0|.1|9
cooper	make, |0.0|.1|1
regret	feel, experience, miss, refuse, decline, inform, |0.0|.1|6
ebb	recede, retire, beleaguer, surround, recede, |0.0|.1|5
point	indicate, show, inform, orient, lie, charge, level, aim, take, train, direct, steer, manoeuvre, direct, head, guide, channelise, control, command, bespeak, betoken, indicate, signal, tell, sail, tag, label, mark, tag, label, mark, tag, label, mark, be, target, aim, place, direct, aim, take, train, direct, sharpen, taper, mend, fix, doctor, restore, |0.0|.1|49
whack	whop, wallop, hit, |0.0|.1|3
dapple	cloud, spot, |0.0|.1|2
chill	depress, dismay, demoralise, cool, change, alter, modify, cool, turn, |0.0|.1|9
overpay	pay, |0.0|.1|1
blanket	cover, cover, |0.0|.1|2
distort	falsify, belie, twist, twist, color, colour, affect, impact, touch, strain, shape, form, |0.0|.1|12
summarize	resume, repeat, reiterate, iterate, restate, sum, state, say, tell, |0.0|.1|9
postpone	table, shelve, defer, delay, |0.0|.1|4
pinch	squeeze, twinge, tweet, grip, crimp, fold, purloin, abstract, swipe, hook, filch, lift, steal, top, clip, crop, trim, dress, irritate, |0.0|.1|19
mortar	plaster, |0.0|.1|1
array	range, arrange, align, stand, |0.0|.1|4
notify	advise, inform, |0.0|.1|2
delegate	designate, assign, designate, assign, appoint, charge, |0.0|.1|6
abolish	|0.0|.1|0
triumph	prevail, win*, rejoice*, gloat, boast, tout, brag, gas, blow, rejoice*, cheer, |0.0|.1|11
phone	call, ring, |0.0|.1|2
refrain	desist, |0.0|.1|1
disk	plough, turn, |0.0|.1|2
void	invalidate, cancel, empty, invalidate, change, alter, modify, empty, eliminate, pass, |0.0|.1|10
toll	ring, levy, impose, |0.0|.1|3
tell	state, say, express, utter, inform, inform, order, say, request, guess, assure*, affirm, verify, assert, aver, swan, swear, evidence, inform, separate, identify, place, |0.0|.1|22
crunch	crackle, resound, noise, grind, press, jaw, grind, mash, fragment, |0.0|.1|9
sleek	slick, polish, smooth, shine, |0.0|.1|4
conglomerate	accumulate, gather, increase, |0.0|.1|3
plough	travel, go, move, turn, till, |0.0|.1|5
obtain	get, acquire, receive, get, find, incur, change, prevail, hold, exist, be, |0.0|.1|11
murder	slay, hit, dispatch, off, remove, kill, mangle, falsify, distort, |0.0|.1|9
loom	look, appear, seem, tower, rise, lift, hover, hang, |0.0|.1|8
double	multiply, hit, bend, flex, function, work, operate, go, run, bid, call, repeat, replicate, reproduce, |0.0|.1|14
smoke	consume, take, have, fume, emit, |0.0|.1|5
browse	shop, search, seek, crop, graze, range, feed, eat, surf, search, seek, graze, snack, |0.0|.1|13
secure	obtain, fix, attach, guarantee, vouch, guarantee, ensure, insure, assure*, plug, close^, strengthen, |0.0|.1|12
cloister	surround, circle, round, ring, insulate, |0.0|.1|5
shun	eschew, avoid, ban, expel, |0.0|.1|4
glance	look, bounce, spring, bound, rebound, recoil, |0.0|.1|6
plot	plan, diagram, draw, map, |0.0|.1|4
bundle	pack, bunch, form, pack, compact, arrange, sleep, slumber, |0.0|.1|8
negative	veto, oppose, |0.0|.1|2
separate	divide, disunite, divide, part, move, displace, tell, identify, place, divide, split, divide, part, change, classify, class, sort, assort, categorize, break, divide, part, split, break, part, split, move, tell, branch, fork, diverge, |0.0|.1|31
tolerate	digest, endure, stomach, bear, stand, support, brook, abide, suffer, permit, allow, let, respect, honour, observe, suffer, endure, allow, permit, permit, allow, let, |0.0|.1|22
zero	adjust, set, correct, adjust, set, correct, |0.0|.1|6
buffalo	cow, |0.0|.1|1
award	present, allocate, grant, give, |0.0|.1|4
regroup	reorganize, reorganise, form, organize, organise, group, |0.0|.1|6
sober	change, alter, modify, become, go, get, become, go, get, |0.0|.1|9
cake	coat, cover, |0.0|.1|2
permit	allow, let, accept, consent, let, allow, allow, tolerate, allow, let, |0.0|.1|10
eclipse	overshadow, excel, surpass, overshadow, obscure, |0.0|.1|5
divorce	disunite, separate, part, split, break, separate, part, split, break, |0.0|.1|9
deprive	strip, take, withhold, impoverish^, worsen^, decline, |0.0|.1|6
criticize	knock, criticise^, comment, notice, remark, criticise^, act, |0.0|.1|7
tether	attach, |0.0|.1|1
sour	turn, work, turn, |0.0|.1|3
indicate	bespeak, betoken, point, signal, tell, point, show, inform, inform, argue^, present, represent, suggest, inform, |0.0|.1|14
fling	throw, move, splurge, consume, squander, waste, ware, toss, dispose, remove, |0.0|.1|10
mingle	mix, unify, change, alter, modify, be, |0.0|.1|6
befuddle	confuse, throw, confound, be, soak, |0.0|.1|5
provide	supply, furnish, give, supply, ply, cater, give, stipulate, qualify, condition, specify, offer, engage, wage, leave, allow, yield, give, afford, support, fix, prepare, ready, set, |0.0|.1|24
verify	confirm, corroborate, sustain*, support, affirm, control, test, prove, try, examine, essay, confirm, affirm, assert, aver, swan, swear, declare, |0.0|.1|18
nut	gather, garner, collect, |0.0|.1|3
boat	ride, |0.0|.1|1
disappoint	spoil, cross, frustrate, baffle, |0.0|.1|4
beach	land, |0.0|.1|1
transform	change, alter, modify, change, alter, modify, change, translate, change, alter, modify, change, alter, modify, change, alter, modify, change, alter, modify, |0.0|.1|20
ladder	run, break, separate, |0.0|.1|3
tackle	undertake, confront, face, attach, attack, |0.0|.1|5
sue	action, process, challenge, |0.0|.1|3
grieve	sorrow, suffer, |0.0|.1|2
facilitate	ease, alleviate, help, assist, aid, help, serve, cause, do, make, |0.0|.1|10
greet	recognize, address, communicate, react, respond, greet, |0.0|.1|6
scare	frighten, fright, stimulate, shake, excite, stir, daunt, dash, intimidate, restrain, |0.0|.1|10
cloak	dissemble, mask, disguise, |0.0|.1|3
devote	give, dedicate, commit, use, utilize, utilise, apply, employ, give, pay, think, reserve, |0.0|.1|12
japan	lacquer, |0.0|.1|1
net	sack, clear, profit, gain, benefit*, clear, yield, pay, bear, web, weave, tissue, catch, grab, |0.0|.1|14
robe	vest, dress, clothe, apparel, |0.0|.1|4
highlight	spotlight, |0.0|.1|1
exempt	relieve, free, excuse, relieve, absolve, justify, free, |0.0|.1|7
understate	minimize, minimise, downplay, inform, |0.0|.1|4
wake	awaken, turn, ignite, heat, arouse, elicit, kindle, evoke, fire, raise, provoke, alarm, alert, awaken, rouse, arouse, change, alter, modify, |0.0|.1|19
break	interrupt, end, terminate, separate, separate, divide, damage^, bust^, destroy, ruin, transgress, offend, violate, breach, escape, disperse, scatter, burst, erupt, stop, end, terminate, intrude, domesticate, reclaim, tame, violate, better, surpass, outgo, exceed, outdo, outperform, disclose^, reveal, discover, expose, tell, become, go, get, fail^, die, go, change, separate, part, split, flee, fly, collapse^, give, founder, soften, weaken, blunt, change, end, stop, finish, terminate, cease, change, alter, vary, stop, cease, quit, emerge, happen, occur, pass, ruin, invalidate, void, avoid, separate, part, split, bump, relegate, delegate, designate, assign, bankrupt, ruin, smash, impoverish^, switch, shift, change, appear, collapse^, give, founder, change, dance, change, exchange, commute, convert, change, alter, modify, shoot, separate, disunite, divide, part, wear, bust^, decay, crumble, detach, pause, interrupt, disrupt, interrupt, disrupt, destroy, ruin, solve, work, switch, shift, change, develop, happen, occur, pass, crack, check, change, turn, decrease^, diminish, lessen, fall, fracture, injure, wound, decrease^, diminish, lessen, fall, weaken, |0.0|.1|146
band	tie, bind, ring, attach, |0.0|.1|4
bang	slam, hit, sound, go, slam, close^, shut, travel, go, move, love, know, screw, bed, mate, pair, couple, hit, strike, |0.0|.1|19
sack	plunder, take, fire, can, dismiss, remove, net, clear, profit, gain, benefit*, case, |0.0|.1|12
bread	cover, |0.0|.1|1
rock	sway, shake, sway, move, displace, |0.0|.1|5
entitle	authorise, authorize, title, name, call, gentle, promote, upgrade, advance, raise, |0.0|.1|10
scheme	intrigue, plot, plan, |0.0|.1|3
evolve	develop, develop, develop, acquire, change, |0.0|.1|5
dump	fling, toss, dispose, ditch, remove, sell, drop, plunge, drop, deck, floor, beat, |0.0|.1|12
mangle	iron, press, murder, falsify, distort, damage^, |0.0|.1|6
host	entertain, |0.0|.1|1
flock	travel, go, move, meet, gather, assemble, |0.0|.1|6
motorize	equip, fit, outfit, equip, fit, outfit, equip, fit, outfit, |0.0|.1|9
slew	sheer, curve, trend, cut, turn, skid, slip, slide, glide, |0.0|.1|9
slay	murder, hit, dispatch, off, remove, kill, |0.0|.1|6
network	communicate, |0.0|.1|1
hook	fix, secure, soak, surcharge, pluck, rob, cheat^, loop, hit, thieve, cop, steal, purloin, pinch, abstract, swipe, filch, lift, steal, hit, catch, grab, addict, accustom, play, snare, entice, lure, tempt, offer, |0.0|.1|30
medicine	treat, |0.0|.1|1
dispute	challenge, contest, contend, scrap, argue^, contend, debate, fence, |0.0|.1|8
veto	negative, oppose, forbid, prohibit^, disallow, command, require, compel, |0.0|.1|8
top	exceed, overstep, pass, excel, surpass, clear, pass, overtake, overhaul, lie, lead, supply, provide, furnish, reach, make, attain, hit, gain, hit, pinch, clip, crop, trim, dress, crown, culminate*, climax, complete, finish, |0.0|.1|30
fright	frighten, scare, shake, excite, stir, |0.0|.1|5
dash	dart, scoot, flash, shoot, rush, hasten*, speed, race, smash, break, crash, hurtle, cast, spoil, cross, frustrate, baffle, daunt, scare, intimidate, restrain, mix, |0.0|.1|22
enlighten	teach, learn, instruct, prophesy, clear, illuminate, clarify, |0.0|.1|7
recover	retrieve, find, regain, get, acquire, convalesce, better, improve*, revert, return, recoup, get, acquire, reclaim, recycle, cover, |0.0|.1|16
create	make, act, move, appoint, charge, make, make, produce, make, create, |0.0|.1|10
install	instal, put, set, place, pose, position, lay, instal, establish, |0.0|.1|9
daunt	dash, scare, intimidate, restrain, |0.0|.1|4
champ	jaw, jaw, |0.0|.1|2
axe	hack, end, terminate, |0.0|.1|3
railroad	coerce, squeeze, pressure^, force, supply, provide, furnish, transport, send, ship, |0.0|.1|10
drone	sound, go, talk, speak, utter, mouth, |0.0|.1|6
implicate	involve, affect, regard, lead, |0.0|.1|4
illustrate	exemplify, instance, elaborate, enlarge, expand*, picture, depict, show, decorate, adorn, grace*, |0.0|.1|11
reject	evaluate, judge, refuse, decline, evaluate, judge, spurn, scorn, refuse, decline, resist, refuse, react, respond, refuse, eliminate, reject, |0.0|.1|17
part	separate, split, move, separate, split, break, leave, separate, divide, change, separate, disunite, divide, move, displace, |0.0|.1|15
rate	rank, range, order, grade, place, evaluate, judge, be, value, measure, evaluate, assess, value, |0.0|.1|13
starch	|0.0|.1|0
farm	work, collect, grow, raise, produce, cultivate, |0.0|.1|6
dog	chase, trail, tail, tag, track, pursue, follow, |0.0|.1|7
filibuster	obstruct, blockade, block, embarrass, |0.0|.1|4
chant	sing, tone, talk, speak, utter, mouth, |0.0|.1|6
butter	cover, |0.0|.1|1
opt	choose, prefer, opt, |0.0|.1|3
scant	work, restrict, stint, supply, provide, furnish, |0.0|.1|6
enmesh	mesh, tangle, |0.0|.1|2
character	scratch, grave, |0.0|.1|2
fuel	supply, provide, furnish, fire, supply, provide, furnish, stimulate, shake, excite, stir, |0.0|.1|11
glorify	proclaim, praise, change, alter, modify, change, alter, modify, pad, aggrandise, |0.0|.1|10
hike	boost, raise, lift, walk, |0.0|.1|4
hack	cut, cut, cope, contend, grapple, deal, manage, cut, foul^, foul^, program, programme, edit, whoop, |0.0|.1|14
man	work, staff, |0.0|.1|2
rewrite	write, write, pen, |0.0|.1|3
execute	kill, punish, penalize, penalise, murder, slay, hit, dispatch, off, remove, accomplish*, action, fulfill, fulfil, complete, finish, effect, enforce, implement, apply, run, enforce, implement, apply, perform, do, sign, |0.0|.1|27
content	limit, confine, satisfy, gratify, |0.0|.1|4
force	coerce, squeeze, pressure^, compel, oblige, obligate, cause, do, make, push, move, displace, compel, oblige, obligate, wedge, squeeze, move, displace, drive, act, move, pull, draw, move, displace, storm, |0.0|.1|27
laden	lade, remove, take, withdraw, load, lade, fill, |0.0|.1|7
lade	laden, remove, take, withdraw, load, laden, fill, |0.0|.1|7
thunder	move, roar, shout, boom, roar, |0.0|.1|5
quieten	quiet, calm, quiet, tranquillise, still, comfort, soothe, console, solace, silence, still, suppress, subdue, conquer, curb, |0.0|.1|15
insulate	change, alter, modify, separate, |0.0|.1|4
exercise	exert, use, utilize, utilise, apply, employ, practice, do, work, work, drill, practice, learn, study, read, take, |0.0|.1|16
soap	clean, |0.0|.1|1
import	trade, merchandise, spell, mean, intend, |0.0|.1|5
grave	sculpt, sculpture, carve, scratch, carve, |0.0|.1|5
bruise	injure, wound, hurt^, wound, injure, offend, spite, arouse, elicit, kindle, evoke, fire, raise, provoke, crush, damage^, |0.0|.1|16
calculate	compute, reckon, figure, reason, estimate, reckon, figure, forecast, evaluate, judge, account, forecast, predict, foretell, prognosticate, call, anticipate, promise, aim, direct, intend, destine, designate, specify, count, bet, depend, look, reckon, trust, swear, rely, bank, |0.0|.1|33
reserve	withhold, allow, appropriate, earmark, assign, allot, portion, request, bespeak, quest, hold, book, request, bespeak, quest, |0.0|.1|15
rent	lease, contract, undertake, lease, let, give, lease, hire, charter, engage, take, get, acquire, hire, charter, lease, contract, undertake, |0.0|.1|18
teeter	totter, move, |0.0|.1|2
enjoy*	bask, use, utilize, utilise, apply, employ, love, like, experience, undergo, see, delight, revel, |1.0|.1|13
allude	touch, hint, suggest, |0.0|.1|3
sentence	condemn, doom, declare, |0.0|.1|3
lighten	cheer, cheer, change, alter, modify, change, change, relieve, mitigate, |0.0|.1|9
run	speed, hurry, escape, leave, go, pass, lead, extend, be, operate, direct, go, be, flow, feed, course, move, function, work, operate, go, range, be, campaign, race, play, travel, go, move, tend, lean, incline, be, execute, enforce, implement, apply, function, work, operate, go, become, go, get, process, treat, incur, prevail, persist, endure, continue, occur, carry, circulate, distribute, disseminate, broadcast, spread, disperse, accomplish*, execute, action, fulfill, fulfil, guide, draw, pass, lead, pass, succeed*, win*, trade, merchandise, move, displace, spread, sail, pass, last, endure, free, release, loose, accompany, travel, go, move, ply, travel, trip, hunt, capture, catch, race, compete, vie, contend, move, go, change, melt, dissolve, resolve, ladder, break, separate, disintegrate, |0.0|.1|107
solidify	|0.0|.1|0
liberalise	change, change, alter, modify, |0.0|.1|4
steal	take, slip, move, gain, advance, win*, |0.0|.1|6
steam	travel, go, move, emit, rise, lift, arise*, uprise, anger, clean, cook, |0.0|.1|11
splay	unfold, spread, open, rotate, turn, slip, move, displace, |0.0|.1|8
depend	be, count, bet, look, calculate, reckon, trust, swear, rely, bank, |0.0|.1|10
sketch	draw, outline, describe, depict, draw, |0.0|.1|5
plight	engage, vow, pledge, promise, assure*, |0.0|.1|5
snooze	|0.0|.1|0
portray	represent, depict, represent, interpret, act, play, represent, present, represent, interpret, |0.0|.1|10
prop	shore, hold, support, sustain*, |0.0|.1|4
chortle	laugh, |0.0|.1|1
encounter	meet, see, find, happen, chance, bump, be, meet, receive, have, experience, meet, play, |0.0|.1|13
accord	agree, match, fit, correspond, check, gibe, tally, agree, allot, grant, give, |0.0|.1|11
combat	battle, contend, fight, struggle, |0.0|.1|4
steep	engulf, plunge, engross, absorb, concentrate, focus, center, centre, rivet, infuse, soak, |0.0|.1|11
mush	drive, sleigh, |0.0|.1|2
paralyze	paralyse, paralyse, |0.0|.1|2
brad	fix, secure, |0.0|.1|2
exceed	surpass, overstep, pass, top, excel, surpass, surpass, outgo, outdo, outperform, beat, crush, shell, vanquish, |0.0|.1|14
layer	shape, form, work, forge, |0.0|.1|4
condescend	act, move, descend, act, move, act, move, patronize, interact, |0.0|.1|9
condemn	decry^, denounce, declare, compel, oblige, obligate, attest, certify, demonstrate, evidence, sentence, doom, declare, |0.0|.1|13
accentuate	stress, emphasize, emphasise, punctuate, accent, express, show, stress, accent, pronounce, articulate, enunciate, say, |0.0|.1|13
refurbish	renovate, renew, |0.0|.1|2
attack	assail, contend, fight, struggle, round, assail, assault, knock, criticize, criticise^, act, move, assail, assault, begin, get, start, commence, affect, |0.0|.1|19
excite	arouse, elicit, kindle, evoke, fire, raise, provoke, stimulate, affect, impact, touch, energize, change, alter, modify, stimulate, stir, agitate, rouse, charge, disturb, upset, trouble, arouse, sex, stimulate, shake, stir, stimulate, shake, stir, arouse, elicit, kindle, evoke, fire, raise, provoke, change, alter, modify, |0.0|.1|41
cater	provide, supply, ply, give, provide, supply, ply, cater, |0.0|.1|8
monetise	legitimate, |0.0|.1|1
deter	discourage, reject, dissuade, advise, counsel, |0.0|.1|5
curry	season, flavor, flavour, process, treat, dress, groom, |0.0|.1|7
apply	use, utilize, utilise, employ, hold, refer, pertain, relate, concern, touch, request, bespeak, quest, cover, give, distribute, administer, deal, lot, allot, practice, use, enforce, implement, compel, oblige, obligate, refer, give, dedicate, commit, devote, |0.0|.1|32
tide	surge*, run, flow, feed, course, float, float, drift, blow, |0.0|.1|9
voice	express, utter, sound, pronounce, articulate, enunciate, say, |0.0|.1|7
inspire	animate, stimulate, shake, excite, stir, occasion, prompt, instigate, induce, stimulate, cause, have, get, make, cheer, urge, barrack, exhort, encourage*, revolutionize*, breathe, |0.0|.1|21
con	scam, cheat^, learn, study, |0.0|.1|4
dinge	batter, change, alter, modify, |0.0|.1|4
sting	bite, burn, smart, hurt^, bite, pierce, stick, force, twinge, hurt^, suffer, hurt^, wound, injure, bruise, offend, spite, |0.0|.1|17
skip	jump, neglect, omit, drop, miss, overlook, cut, miss, leap, bound, spring, decamp, leave, bounce, spring, bound, rebound, recoil, throw, |0.0|.1|19
tissue	weave, |0.0|.1|1
conk	stall, stop, halt, hit, die, go, exit, expire^, pass, choke^, turn, faint, swoon, |0.0|.1|13
woo	court, court, romance, act, move, |0.0|.1|5
confirm	corroborate, sustain*, support, affirm, affirm, strengthen, approve, okay, sanction, |0.0|.1|9
perform	execute, do, act, move, do, accomplish*, execute, action, fulfill, fulfil, |0.0|.1|10
supplement	add, constitute, represent, comprise, be, attach, |0.0|.1|6
wheel	rotate, transport, roll, travel, go, move, bicycle, cycle, bike, ride, |0.0|.1|10
fuss	fret, worry, mother, care, |0.0|.1|4
blame^	fault, charge, accuse, pick, knock, criticize, criticise^, charge, assign, attribute, |-1.0|.1|10
exude	ooze, eliminate, pass, express, show, |0.0|.1|5
venture	embark, go, proceed, move, guess, pretend, hazard, speculate, hazard, risk, |0.0|.1|10
centre	center, move, displace, concentrate, focus, center, rivet, think, |0.0|.1|8
prescribe	order, dictate, visit, impose, |0.0|.1|4
penalise	punish, penalize, penalise, |0.0|.1|3
humble	change, alter, modify, hurt^, wound, injure, bruise, offend, spite, |0.0|.1|9
drip	descend, fall, dribble, drop, pour, |0.0|.1|5
contact	reach, communicate, touch, meet, contact, |0.0|.1|5
overtake	catch, pass, overhaul, advance, progress*, overwhelm, whelm, overcome, arouse, elicit, kindle, evoke, fire, raise, provoke, |0.0|.1|15
unify	unite, merge, integrate, mix, mingle, change, alter, modify, unite, change, alter, modify, unite, join, unite, merge, change, alter, modify, |0.0|.1|19
quote	cite, repeat, reiterate, iterate, restate, give, cite, mention, cite, name, refer, punctuate, mark, |0.0|.1|13
brigade	group, |0.0|.1|1
goggle	gape, gawp, look, |0.0|.1|3
bandy	play, contend, fight, struggle, discuss, |0.0|.1|5
add	increase, supply, state, say, tell, lend, bestow, contribute*, bring, change, alter, modify, calculate, compute, reckon, figure, total, sum, tally, count, number, enumerate, form, constitute, make, |0.0|.1|25
hill	shape, form, work, forge, |0.0|.1|4
dish	serve, provide, supply, ply, cater, shape, form, |0.0|.1|7
boot	kick, revive, |0.0|.1|2
josh	kid, jolly, rag, bait, taunt, rally, ride, |0.0|.1|7
belong	be, consist, lie, exist, be, be, go, be, be, |0.0|.1|9
require	necessitate, ask, need, take, involve, demand, ask, expect, demand, command, compel, order, tell, say, want, need, be, |0.0|.1|17
fare	do, come, proceed, go, eat, |0.0|.1|5
mock	handle, imitate, copy, simulate, |0.0|.1|4
sloganeer	coin, |0.0|.1|1
cap	lie, limit, confine, |0.0|.1|3
winkle	shine, beam, flash, blink, |0.0|.1|4
retreat	withdraw, recede, retire, travel, go, move, travel, go, move, recede, retire, withdraw, |0.0|.1|12
lapse	sink, pass, move, end, stop, finish, terminate, cease, slip, revert, return, forfeit, waive, forgo, advance, progress*, |0.0|.1|16
cool	chill, change, alter, modify, chill, turn, change, |0.0|.1|7
lurk	hide, conceal, lounge, loaf, linger, be, ambush, wait, |0.0|.1|8
eye	look, |0.0|.1|1
bemuse	bewilder, throw, upset, |0.0|.1|3
deny	negate, withhold, refuse, keep, control, hold, contain, check, curb, moderate, |0.0|.1|10
humor	humour, gratify, indulge, |0.0|.1|3
ransack	plunder, strip, rifle, foray, take, search, |0.0|.1|6
purple	colour, color, color, colour, |0.0|.1|4
comment	notice, remark, note, observe, mention, remark, explain, gloss, interpret, |0.0|.1|9
beat	crush, shell, vanquish, overcome, defeat, strike, pound, thump, move, shape, form, work, forge, drum, sound, go, glare, move, displace, sail, scramble, agitate, vex, disturb, strike, be, cheat^, tick, sound, go, move, move, make, create, play, overreach, surpass, outgo, exceed, outdo, outperform, vex, stick, get, puzzle, baffle, pose, bewilder, gravel, amaze, confuse, throw, befuddle, confound, exhaust, tire, wear, fatigue, |0.0|.1|58
market	trade, merchandise, shop, deal, sell, trade, commercialise, change, alter, modify, |0.0|.1|10
peer	look, |0.0|.1|1
escape	flee, fly, miss, avoid, avoid, elude, vex, stick, get, puzzle, baffle, beat, pose, bewilder, gravel, amaze, issue, emerge, run, leave, |0.0|.1|20
treble	sing, triple, multiply, |0.0|.1|3
faint	conk, swoon, |0.0|.1|2
mantle	spread, cover, |0.0|.1|2
delight	please, satisfy, gratify, enjoy*, revel, enchant, transport, please, delight, |0.0|.1|9
balance	match, fit, account, calculate, poise, hold, carry, bear, be, |0.0|.1|9
stumble	falter, bumble, walk, trip, move, hit, mistake, slip, |0.0|.1|8
segment	section, separate, divide, part, separate, divide, part, |0.0|.1|7
tank	store, process, treat, |0.0|.1|3
cede	grant, give, surrender, deliver, give, gift, present, |0.0|.1|7
true	align, adjust, |0.0|.1|2
reset	specify, set, determine, fix, limit, set, adjust, set, correct, |0.0|.1|9
absent	remove, disappear, vanish, |0.0|.1|3
leaf	thumb, turn, grow, develop, produce, get, acquire, |0.0|.1|7
promise	assure*, declare, declare, predict, foretell, prognosticate, call, anticipate, guess, venture, pretend, hazard, be, |0.0|.1|13
compute	calculate, reckon, figure, reason, |0.0|.1|4
abstract	see, consider, reckon, view, regard, purloin, pinch, swipe, hook, filch, lift, steal, consider, take, deal, summarize, resume, |0.0|.1|17
evidence	attest, certify, demonstrate, testify, prove, show, testify, prove, show, inform, tell, inform, |0.0|.1|12
die	go, exit, expire^, pass, conk, choke^, turn, suffer, endure, snap, fail^, go, break, change, feel, experience, yearn, languish, play, change, disappear, vanish, die, |0.0|.1|23
stake	venture, hazard, adventure, risk, back, game, bet, play, post, mark, fix, secure, kill, |0.0|.1|13
test	prove, try, examine, essay, evaluate, judge, screen, check, quiz, examine, be, score*, determine, check, see, watch, learn, take, undergo, submit, |0.0|.1|20
allowance	allow, grant, |0.0|.1|2
flash	blink, twinkle, winkle, appear, flaunt, swank, expose, exhibit, display, convey, dart, dash, scoot, shoot, rush, hasten*, speed, race, show, cover, appear, |0.0|.1|21
welcome	accept, take, have, receive, greet, recognize, receive, invite, |0.0|.1|8
update	modify, inform, modify, |0.0|.1|3
enthuse	excite, talk, speak, utter, mouth, |0.0|.1|5
act	move, behave, do, play, represent, serve, play, behave, do, be, work, succeed*, win*, dissemble, pretend, play, |0.0|.1|16
necessitate	ask, need, require, take, involve, demand, lead, |0.0|.1|7
bed	supply, provide, furnish, plant, set, put, set, place, pose, position, lay, love, know, screw, bang, mate, pair, couple, retire, |0.0|.1|19
swathe	bind, |0.0|.1|1
pilot	fly, operate, control, navigate, steer, manoeuvre, direct, point, head, guide, channelise, |0.0|.1|11
dance	move, move, move, |0.0|.1|3
zone	district, regulate, order, govern, separate, divide, |0.0|.1|6
graph	chart, represent, interpret, diagram, plot, |0.0|.1|5
tusk	horn, pierce, take, withdraw, |0.0|.1|4
publicize	air, bare, tell, advertise, announce, |0.0|.1|5
automobile	travel, go, move, |0.0|.1|3
perceive	understand, realize, realise, see, |0.0|.1|4
present	show, exhibit, demonstrate, show, state, say, tell, stage, submit, give, pose, constitute, comprise, be, award, allocate, give, gift, deliver, talk, speak, utter, mouth, introduce, inform, portray, confront, face, introduce, salute, greet, recognize, |0.0|.1|32
alter	change, modify, change, vary, change, modify, falsify, edit, fix, |0.0|.1|9
disqualify	change, alter, modify, pronounce, label, judge, |0.0|.1|6
weave	distort, tissue, swing, sway, wind, thread, wander, travel, go, move, |0.0|.1|10
rubric	|0.0|.1|0
regain	recover, retrieve, find, get, acquire, find, get, acquire, |0.0|.1|8
