yellow	  1,discolor, discolour, colour, color
glass	  1, glaze,supply, provide, render, furnish,2,scan,3, glass in,enclose, close in, inclose, shut in,4,insert, enclose, inclose, stick in, put in, introduce,5,glaze,  glass over, glaze over,change
tie	  1, bind,fasten, fix, secure,2, draw,equal, match, equalize, equalise, equate,3,restrict, restrain, trammel, limit, bound, confine, throttle,4,connect, link,  link up,5,shape, form,6,bind,  attach, bond,relate,7,marry, wed,  splice,officiate,8,fashion, forge,9,connect, link,  link up
hole	  1, hole out,hit,2,hollow, hollow out, core out
hold	  1, throw, have, make, give,direct,2,keep, maintain, 3, take 4,restrain, confine, disable, disenable, incapacitate,5,bear, have, have got, 6,have, have got, 7,deem,  view as, take for,see, consider, reckon, view, regard,8, bear, carry, contain,include,9,control, hold in,  contain, check, curb, moderate,restrain, suppress, keep, keep back, hold back,10,continue, go on, proceed, go along, keep,11,harbor, harbour,  entertain, nurse,feel, experience,12,affirm, verify, assert, avow, aver, swan, swear,13,think, believe, consider, conceive,14,retain,  keep back, hold back,keep, hold on,15, support, sustain, hold up,16,capture, enamour, trance, catch, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant,17,restrain, suppress, keep, keep back, hold back,18, carry, bear,19,accommodate,  admit,20,contain, take, be,21,prevail,  obtain,exist, be,22,control, command,23,defend, guard, protect,24,declare, adjudge, evaluate, pass judgment, judge,25,be,26,halt,  arrest,stop,27,oblige, bind,  obligate,relate,28,cover,29,carry, drink, booze, fuddle,30,apply,  go for,refer, pertain, relate, concern, come to, bear on, touch, touch on,31,reserve,  book,request, bespeak, call for, quest,32,defy, withstand,  hold up,resist, hold out, withstand, stand firm,33,prevent, keep,34,postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off,35,aim, take, train, take aim, direct,36,agree,  concur, concord
lock	  1,fasten, fix, secure,2,engage, mesh,  operate,move, displace,3,engage,4, inter interlace,hold, take hold,5,inter embrace, hug, bosom, squeeze,6,overwhelm, overpower, sweep over, whelm, overcome, overtake,7,lock in, lock away,  put away, shut up, shut away, lock up,confine,8,pass, go through, go across,9,construct, build, make
pursue	  1,prosecute, engage, act, move,2, follow,travel, go, move, locomote,3,quest for, go after, quest after, search, seek, look for,4, follow up on, act on,react, oppose
plunge	  1,immerse, penetrate, perforate,2,dive,  plunk,descend, fall, go down, come down,3,dart, dash, scoot, scud, flash, shoot,4, launch,get down, begin, get, start out, start, set about, set out, commence,5, immerse,6, dump,drop,7,dunk, dip, souse,  douse,immerse, 8,steep, immerse, engulf,  engross, absorb, soak up,concentrate, focus, center, centre, pore, rivet
nationalize	  1, nationalise,change, alter, modify,2, nationalise,change, alter, modify
organize	  1,form,  organise,make, create,2, organise,manage, deal, care, handle,3,mastermind, engineer, direct,  organise, orchestrate,plan,4, organise, coordinate,arrange, set up,5, organise, prepare, devise, get up, machinate,initiate, pioneer,6,unionize, unionise,  organise,join, fall in, get together
frown	  1, glower, lour, lower,grimace, make a face, pull a face
caution	  1, admonish, monish,warn
want	  1,desire, 2, need, require,be,3,demand,4,search, seek, look for,5,miss, lack
shield	  1, screen,protect,2,harbor, harbour, hide, conceal
travel	  1, go, move, locomote,2, journey, trip, jaunt,3, trip, jaunt,4, journey, go, move, locomote,5, go, move, locomote,6, move around, go, move, locomote
damage	  1,change, alter, modify
revisit	  1,return, go back, get back, come back
machine	  1,shape, form, work, mold, mould, forge,2,produce, make, create
chase	  1, chase after, trail, tail, tag, give  dog, go after, track,pursue, follow,2, chase after,woo, court, romance, solicit,3,cut,4,furrow, chamfer, cut
classify	  1, class, sort, assort, sort out, separate,categorize, categorise,2,restrict,3,relegate, assign, attribute
backpedal	  1,bicycle, cycle, bike, pedal, wheel,2,step,3,rethink
game	  1,bet on, back, gage, stake,  punt,bet, wager, play
summon	  1, summons, cite,call, send for,2,call, send for,3,muster, rally,  come up, muster up,gather, garner, collect, pull together,4,mobilize, mobilise, marshal, gather, garner, collect, pull together
outlaw	  1, criminalize, criminalise, illegalize, illegalise,forbid, prohibit, interdict, proscribe, veto, disallow
shore	  1,bound, border,2,land, set a arrive, get, come,3,prop up, prop, shore up, hold, support, sustain, hold up
destine	  1, fate, doom, designate,ordain,2,intend,  designate, specify,plan
charleston	  1,Charleston,dance, trip the light fantastic, trip the light fantastic toe
outcry	  1,outshout, surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform,2,exclaim, cry, cry out,  call out, shout,express, verbalize, verbalise, utter, give tongue to
type	  1, typewrite,write,2, typecast,identify
culminate	  1, climax,end, stop, finish, terminate, cease,2,end, terminate,3,achieve, accomplish, attain, reach,4,reach, make, attain, hit, arrive at, gain,5,form
choke	  1,breathe, take a breath, respire, suspire,2, gag, fret,compress, constrict, squeeze, compact, contract, press,3, scrag,compress, constrict, squeeze, compact, contract, press,4, strangle,compress, constrict, squeeze, compact, contract, press,5,gag,  strangle, suffocate,suffer, hurt,6,fail, neglect,7,bottle up, suppress,8,clog, choke off, clog up, back up, congest,  foul,obstruct, obturate, impede, occlude, jam, block, close up,9,suffocate, stifle, asphyxiate, obstruct, obturate, impede, occlude, jam, block, close up,10,suffocate, become, turn,11,suffocate, stifle, dampen,12,die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off,  croak, snuff it,change state, turn,13, throttle,enrich,14,gag, sicken
win	  1,2,acquire,  gain,get, acquire,3,gain, advance,  pull ahead, make headway, get ahead, gain ground,4,succeed,  come through, bring home the bacon, deliver the goods
revolt	  1,rebel, arise, rise, rise up,2,disgust, gross out,  repel,stimulate, excite, stir,3,disgust,  nauseate, sicken, churn up,repel, repulse
preside	  1,control, command
keep	  1, maintain, hold,2,continue, go on, proceed, go along, act, move,3, hold on,have, have got, hold,4,prevent, 5,observe, 6,observe,  maintain,7,have, have got, hold,8, maintain,record, enter, put down,9,lodge, accommodate,10,retain, continue,  keep on, keep going,prolong, sustain, keep up,11,sustain,  maintain,have, have got, hold,12, stay fresh,stay, remain, rest,13,observe, celebrate, 14,restrain, suppress,  keep back, hold back,prevent, 15, preserve,protect,16,grow, raise, farm, produce,17,keep open, hold open,  save,reserve, hold, book,18,store,19,have, have got, hold,20, maintain,have, have got, hold,21,confine, detain,22,preserve, cook, fix, ready, make, prepare
wing	  1,fly, travel, go, move, locomote
wine	  1,drink, booze, fuddle,2,regale, treat
undo	  1,change by reversal, turn, reverse,2,unmake, 3,ruin,4,untie,  loosen,change, alter, modify,5,unwrap, uncover, expose
vary	  1,change, alter, 2,deviate,  diverge, depart,differ,3,differ,4, variegate, motley,diversify
partner	  1,supply, provide, render, furnish,2,act, move
outdo	  1,surpass, outstrip, outmatch, outgo, exceed,  surmount, outperform,beat, beat out, crush, shell, trounce, vanquish,2, outflank, trump, best, scoop,beat, beat out, crush, shell, trounce, vanquish
introvert	  1,invaginate, draw in, retract,2,change, alter, modify
reward	  1,honor, honour, recognize, recognise,2,reinforce, teach, learn, instruct,3, repay, pay back,act, move
subordinate	  1,rate, rank, range, order, grade, place,2, subdue,lower, lour
scream	  1,shout, shout out, cry, call, yell,  holler, hollo, squall,utter, emit, let out, let loose,2,yell, shout,3,make noise, resound, noise
secede	  1, splinter, break away,separate, part, split up, split, break, break up
hide	  1, conceal,2, hide out,3,shroud, enshroud,  cover,envelop, enfold, enwrap, wrap, enclose,4,obscure, blot out, obliterate, veil, change, alter, modify
copy	  1,write,2,imitate,  simulate,reproduce,3,replicate, duplicate, reduplicate, double, repeat, replicate,4, re-create,make, create
slate	  1,intend, destine, designate, specify,2,cross-file, register,3,roof
effect	  1, effectuate, set up,cause, do, make,2,act, move
school	  1,educate,2,educate,  train, cultivate, civilize, civilise,polish, refine, fine-tune, down,3,swim
comprise	  1,consist, be,2,incorporate, contain, include,3,constitute, represent, make up,  be
silver	  1,plate,2,color, colorize, colorise, colourise, colourize, colour, color in, colour in,3,discolor, discolour, colour, color
rumour	  1,rumor,  bruit,dish the dirt, gossip
represent	  1, stand for, correspond,equal, be,2,typify, symbolize, symbolise, stand for, mean, intend,3,be,4,serve,5,express, verbalize, verbalise, utter, give tongue to,6,exemplify, embody, be, personify,7,constitute,  make up, comprise, be,8,defend, 9, interpret,re-create,10,act, play, re-create,11,stage, present, re-create,12,describe, depict, draw,13,remonstrate, point out,14,present,  lay out,state, say, tell,15,map, permute, commute, transpose
queue	  1,line up, queue up, stand, stand up
debut	  1,introduce, innovate,2,play,3,perform
armour	  1,armor, equip, fit, fit out, outfit
crop	  1,cut,2,cultivate,  work,fix, prepare, set up, ready, gear up, set,3,bear, turn out,4, graze, pasture,feed, give,5, browse, graze, range, pasture,feed, eat,6,snip, clip,  trim, lop, dress, prune, cut back,thin out
captivate	  1,capture, enamour, trance, catch, becharm, enamor,  beguile, charm, fascinate, bewitch, entrance, enchant,attract, appeal
queue	  1,line up, queue up, stand, stand up
precede	  1,predate,  forego, forgo, antecede, antedate,2, predate,lie,3, come before,4, lead,travel, go, move, locomote,5, preface, premise, introduce,state, say, tell
snake	  1,glide,2,wind, twist, curve,3,weave, wind, thread, meander, wander
ticket	  1, fine,book,2,supply, provide, render, furnish
contract	  1, undertake,promise, assure,2,sign,  sign on, sign up,hire, engage, employ,3,compress, constrict, squeeze, compact,  press,tighten,4,shrink, decrease, diminish, lessen, fall,5, take, get,sicken, come down,6,shrink, reduce,7,condense, concentrate, change, alter, modify,8,narrow, change,9,abridge, foreshorten, abbreviate, shorten, cut,  reduce,decrease, lessen, minify
strip	  1,deprive,  divest,take,2,undress, discase, uncase, unclothe,  strip down, disrobe, peel,take off,3,remove, take, take away, withdraw,4,leach, remove, take, take away, withdraw,5,denude, bare, denudate, clear,6,plunder, despoil, loot, reave,  rifle, ransack, pillage, foray,take,7,clean, remove, take, take away, withdraw,8,remove, take, take away, withdraw,9,smooth, smoothen,10,remove, take, take away, withdraw,11, dismantle,remove, take, take away, withdraw,12,milk,13, undress, divest, disinvest,remove, take, take away, withdraw
deposit	  1,lodge, wedge, stick, fasten, fix, secure,2, bank,give,3,situate, fix, posit, put, set, place, pose, position, lay
reload	  1,recharge, load, charge,2,load, lade, laden, load up
allay	  1,still,  relieve, ease,comfort, soothe, console, solace,2,quench, slake,  assuage,meet, satisfy, fill, fulfill, fulfil
trick	  1,flim-flam,  fob, fox, pull a fast one on, play a trick on,deceive, lead on, delude, cozen
ring	  1, peal,sound, go,2,resound, echo,  reverberate,sound, go,3, knell,sound,4,surround, environ, encircle, circle, round, hold, bear, carry, contain,5,call, telephone, call up, phone, telecommunicate,6, band,attach
whip	  1,flog, welt,  lather, lash, slash, strap, trounce,beat, beat up, work over,2,worst, pip, mop up,  rack up,beat, beat out, crush, shell, trounce, vanquish,3,convulse, thresh, thresh about, thrash, thrash about, slash, toss, jactitate,4, lash,strike,5,whisk, beat, scramble,6,blister, scald, attack, round, assail, lash out, snipe, assault
trend	  1,swerve, sheer, curve,  veer, slue, slew, cut,turn
crop	  1,cut,2,cultivate,  work,fix, prepare, set up, ready, gear up, set,3,bear, turn out,4, graze, pasture,feed, give,5, browse, graze, range, pasture,feed, eat,6,snip, clip,  trim, lop, dress, prune, cut back,thin out
