yellow	  1,discolor, discolour, colour, color
wind	  1,weave,  thread, meander, wander,travel, go, move, locomote,2, twist, curve,be,3, wrap, roll, twine,move, displace,4,scent, nose, smell,5, wind up,tighten, fasten,6,wreathe, intertwine, twine, entwine, enlace, interlace, lace,7,hoist, lift, raise, lift, elevate, get up, bring up
link	  1,associate, tie in, relate,  colligate, link up, connect,think, cogitate, cerebrate,2,connect,  tie, link up,3,connect,  link up, join, unite,4,yoke, attach
salt	  1,season, flavor, flavour,2,sprinkle, splash, splosh,3,spice, spice up,4,preserve, keep
affirm	  1,confirm, corroborate, sustain, substantiate, support, 2, verify, assert, avow, aver, swan, swear,declare,3,affirm
twin	  1, duplicate, parallel,match, fit, correspond, check, jibe, gibe, tally, agree,2,match, mate, couple, pair, join, bring together,3,grow,4,give birth, deliver, bear, birth, have
walk	  1,travel, go, move, locomote,2,traverse, track, cover, cross, pass over, get over, get across, cut through, cut across,3,accompany,4,score, hit, tally, rack up,5,behave, comport,6, take the air,travel, go, move, locomote,7,play,8,consociate, associate,9,compel, oblige, obligate,10,pace
misconduct	  1,misbehave,  misdemean,act, move,2,mismanage, mishandle, manage, deal, care, handle
marshal	  1,put, set, place, pose, position, lay,2,arrange, set up,3,mobilize, mobilise,  summon,gather, garner, collect, pull together,4,usher, show
outsource	  1,source
juxtapose	  1,put, set, place, pose, position, lay
imagine	  1, conceive of, ideate, envisage,create by mental act, create mentally,2,think, opine, suppose,  reckon, guess,expect, anticipate
slow	  1,decelerate,  slow down, slow up, retard,decrease, diminish, lessen, fall,2, slow down, slow up, slack, slacken,weaken,3, slow down, slow up,decelerate,  slow down, slow up, retard
deck	  1, adorn, decorate, grace, embellish, beautify,be,2, bedight, bedecorate, adorn, grace, ornament, embellish, beautify,3, coldcock, dump, knock down, floor,beat
rob	  1,steal,2,overcharge, soak, surcharge, gazump, fleece, plume, pluck,  hook,cheat, rip off, chisel
culminate	  1, climax,end, stop, finish, terminate, cease,2,end, terminate,3,achieve, accomplish, attain, reach,4,reach, make, attain, hit, arrive at, gain,5,form
tear	  1, rupture, snap, bust,separate, disunite, divide, part,2,separate, disunite, divide, part,3, shoot, shoot down, charge, buck,rush, hotfoot, hasten, hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along,4,pluck, pull,  deplume, deplumate, displume,strip,5,cry, weep
go	  1,travel,  move, locomote,2, proceed, move,act, move,3, go away, depart,exit, go out, get out, leave,4,become,  get,change state, turn,5,6,run, be,7,run,  pass, lead, extend,be,8,proceed, happen, hap, go on, pass off, occur, pass, fall out, come about, take place,9,disappear, vanish, go away,10,be,11,sound, cause to be perceived,12,function, work, operate,  run,13,run low, run short, end, stop, finish, terminate, cease,14,move,  run,change,15,survive, last, live, live on,  endure, hold up, hold out,16,17,die, decease, perish,  exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,change state, turn,18,belong, be,19,compare,20,start,  get going,21,move, 22,23,24,blend,  blend in,harmonize, harmonise, consort, accord, concord, fit in, agree,25, lead,be,26,fit, fit,27,rifle, search,28,29,plump, choose, take, select, pick out,30,fail, go bad, give way, die, give out, conk out,  break, break down,change
equip	  1, fit, fit out, outfit,supply, provide, render, furnish,2,enable
outrage	  1,shock, offend, scandalize, scandalise, appal, appall, disgust, revolt, nauseate, sicken, churn up,2,desecrate, profane,  violate,assail, assault, set on, attack,3,rape, ravish, violate, assault, dishonor, dishonour, assail, assault, set on, attack
freeze	  1,change state, turn,2, stop dead,stand still,3,suffer,4,change, alter, modify,5, suspend,interrupt, break,6,7, freeze out, freeze down,solidify,8, block, immobilize, immobilise,withhold, keep back,9,anesthetize, anaesthetize, anesthetise, anaesthetise, put to sleep, put under, put out,10,act, behave, do
prime	  1,fix, prepare, set up, ready, gear up, set,2, ground, undercoat,paint,3,fill, fill up, make full
redeem	  1,deliver,  save,2,restore, reinstate, reestablish,3,exchange, change, interchange,4,ransom, exchange, change, interchange,5, pay off,pay,6,cash, cash in
compost	  1,convert, change over
borrow	  1,get, acquire,2,adopt,  take over, take up,accept, take, have
worry	  1,2, care,mind,3, vex,perturb, unhinge, disquiet, trouble, cark, distract, disorder,4,concern, interest, occupy, 5,incise,6,rub
whip	  1,flog, welt,  lather, lash, slash, strap, trounce,beat, beat up, work over,2,worst, pip, mop up,  rack up,beat, beat out, crush, shell, trounce, vanquish,3,convulse, thresh, thresh about, thrash, thrash about, slash, toss, jactitate,4, lash,strike,5,whisk, beat, scramble,6,blister, scald, attack, round, assail, lash out, snipe, assault
bomb	  1,bombard, attack, assail,2,fail, flunk,  flush it
worry	  1,2, care,mind,3, vex,perturb, unhinge, disquiet, trouble, cark, distract, disorder,4,concern, interest, occupy, 5,incise,6,rub
uncover	  1, bring out, unveil, reveal,show,2, expose
dive	  1, plunge, plunk,descend, fall, go down, come down,2,submerge, submerse,3,swim
clip	  1,nip, nip off,  snip, snip off,cut,2,trot, jog, run,3,attach,4,snip,  crop, trim, lop, dress, prune, cut back,thin out,5, curtail, cut short,shorten
alarm	  1,dismay,  appal, appall, horrify,frighten, fright, scare, affright,2, alert,warn
site	  1,locate, place, station, post, base, send, place
refresh	  1,review, brush up, remember, retrieve, recall, call back, call up, recollect, think,2, freshen,regenerate, renew,3,freshen,  refreshen, freshen up,change,4, freshen, refreshen,change, alter, modify
affect	  1, impact, bear upon, bear on, touch on, touch,change, alter, modify,2,change, alter, modify,3,involve,  regard,refer, pertain, relate, concern, come to, bear on, touch, touch on,4,feign, sham, pretend,  dissemble,misrepresent, belie,5, impress, move, strike
deck	  1, adorn, decorate, grace, embellish, beautify,be,2, bedight, bedecorate, adorn, grace, ornament, embellish, beautify,3, coldcock, dump, knock down, floor,beat
job	  1,cheat, chisel,2,subcontract, farm out, hire, engage, employ,3,work, do work,4,speculate, invest, put, commit, place
screen	  1, test,check,2,analyze, analyse, study, examine, canvass, canvas,3, screen out, sieve, sort,choose, take, select, pick out,4,show,5, block out,obstruct, obturate, impede, occlude, jam, block, close up,6,riddle, sift, sieve, strain,7,shield, protect
scrutinise	  1,size up, take stock, scrutinize, examine, see,2,audit, scrutinize,  inspect,analyze, analyse, study, examine, canvass, canvas
jet	  1, gush,run, flow, feed, course,2,fly, aviate, pilot
spark	  1,trip, actuate, trigger, activate, set off, spark off,  trigger off, touch off,initiate, pioneer,2, sparkle,emit, give out, give off
suppress	  1, stamp down, inhibit, subdue, conquer, curb,control, hold in, hold, contain, check, curb, moderate,2,oppress,  crush,3,bottle up, restrain,  keep, keep back, hold back,4,restrain,  keep, keep back, hold back,prevent, keep,5, repress,forget, bury
concentrate	  1,change state, turn,2, focus, center, centre, pore, rivet,think, cogitate, cerebrate,3,centralize, centralise, change, alter, modify,4,digest, condense, abridge, foreshorten, abbreviate, shorten, cut, contract, reduce,5,converge,6,condense,  contract,change, alter, modify,7,boil down, reduce, decoct, decrease, diminish, lessen, fall,8,reduce, boil down, decrease, lessen, minify
bust	  1,break, destroy, ruin,2,raid, attack, assail,3,tear, rupture, snap, separate, disunite, divide, part,4,break, wear, wear out,  fall apart,decay, crumble, delapidate,5,burst, break, separate, split up, fall apart, come apart
butterfly	  1,flit, flutter, fleet, dart,2,unfold, spread, spread out, open,3,chat up, flirt, dally,  coquet, coquette, romance, philander, mash,talk, speak
resolve	  1,decide, settle,  adjudicate,end, terminate,2,conclude, agree, hold, concur, concord,3,purpose, decide, make up one's mind, determine,4,answer, solve, work out, figure out, puzzle out, lick, work,5,recognize, recognise, distinguish, discern, pick out, make out, tell apart,6, solve,calculate, cipher, cypher, compute, work out, reckon, figure,7,dissolve,  break up,change integrity
pare	  1, pare down,decrease, lessen, minify,2,whittle, cut,3,skin, peel, strip,4, trim,cut
flounder	  1,stagger, walk,2,fight, struggle
groom	  1,prepare,  train,educate,2,dress,  curry,fancify, beautify, embellish, prettify,3, neaten,fancify, beautify, embellish, prettify
rival	  1,equal, touch,  match,compete, vie, contend,2,compete, vie, contend
stigmatise	  1,stigmatize,  brand, denounce, mark,label,2,stigmatize, mark
compel	  1, oblige, obligate,induce, stimulate, cause, have, get, make,2,command, require, order, tell, enjoin, say
twin	  1, duplicate, parallel,match, fit, correspond, check, jibe, gibe, tally, agree,2,match, mate, couple, pair, join, bring together,3,grow,4,give birth, deliver, bear, birth, have
consider	  1,see,  reckon, view, regard,think, believe,  conceive,2,study, chew over, think over, meditate, ponder, excogitate, contemplate, muse, reflect, mull, mull over, ruminate, speculate,3, take, deal, look at,think about,4, count, weigh,5, debate, moot, turn over, deliberate,hash out, discuss, talk over,6,think, believe,  conceive,evaluate, pass judgment, judge,7,regard, look,8,view,  look at,analyze, analyse, study, examine, canvass, canvas,9,see,  reckon, view, regard
care	  1,feel for, pity, compassionate, condole with, sympathize with,2, give help, assist, aid,3,wish,  like,desire, want,4,manage, deal,  handle,control, command,5,worry, mind
combine	  1,compound, add,2,unite, have, feature,3,compound, mix, mingle, commix, unify, amalgamate,4,contribute, give, chip in, kick in,5,interact,6,aggregate, mix, mingle, commix, unify, amalgamate,7,blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld,  merge,change integrity
stretch	  1, stretch along,be,2, extend,tense, strain, tense up,3,unfold,  stretch out, extend,change shape, change form, deform,4,grow,5,elongate, lengthen,6, stretch out,lie down, lie,7,pull, draw, force,8,widen, broaden, extend,9,adulterate,  dilute, debase,corrupt, spoil,10,extend, increase,11, stretch out,move
rage	  1,ramp,  storm,act, behave, do,2,be,3,rage
combine	  1,compound, add,2,unite, have, feature,3,compound, mix, mingle, commix, unify, amalgamate,4,contribute, give, chip in, kick in,5,interact,6,aggregate, mix, mingle, commix, unify, amalgamate,7,blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld,  merge,change integrity
strip	  1,deprive,  divest,take,2,undress, discase, uncase, unclothe,  strip down, disrobe, peel,take off,3,remove, take, take away, withdraw,4,leach, remove, take, take away, withdraw,5,denude, bare, denudate, clear,6,plunder, despoil, loot, reave,  rifle, ransack, pillage, foray,take,7,clean, remove, take, take away, withdraw,8,remove, take, take away, withdraw,9,smooth, smoothen,10,remove, take, take away, withdraw,11, dismantle,remove, take, take away, withdraw,12,milk,13, undress, divest, disinvest,remove, take, take away, withdraw
want	  1,desire, 2, need, require,be,3,demand,4,search, seek, look for,5,miss, lack
enable	  1,change, alter, modify
form	  1, constitute, make,constitute, represent, make up, comprise, be,2, organize, organise,make, create,3, take  take shape, spring,become,4,shape, change, alter, modify,5,shape,  work, mold, mould, forge,create from raw material, create from raw stuff,6,imprint, influence, act upon, work,7,change
curb	  1,control, hold in, hold, contain, check,  moderate,restrain, suppress, keep, keep back, hold back,2,suppress, stamp down, inhibit, subdue, conquer, control, hold in, hold, contain, check,  moderate,3,restrain, encumber, cumber, constrain,4,restrict, curtail,  cut back,limit, circumscribe, confine
flurry	  1,move,2,confuse,  disconcert, put off,embarrass, abash
observe	  1,detect,  find, discover, notice,sight,2,note,  mention, remark,state, say, tell,3,note, take note, 4,watch,5,respect, honor, honour, abide by, accept,6, celebrate, keep,7,watch,  follow, watch over, keep an eye on,check, check up on, look into, check out, suss out, check over, go over, check into,8, keep, maintain,9, keep
poll	  1, canvass, canvas,survey,2,vote,3,get, acquire,4, pollard,snip, clip, crop, trim, lop, dress, prune, cut back
engineer	  1,design, plan,2,mastermind,  direct, organize, organise, orchestrate,plan
cure	  1,bring around,  heal,help, aid,2,preserve, keep,3,harden, indurate,4,change
energize	  1,stimulate, arouse, brace,  energise, perk up,affect,2,excite,  energise,change, alter, modify
spotlight	  1,foreground, highlight,  play up,bring out, set off,2,light, illume, illumine, light up, illuminate
twist	  1,writhe, wrestle, wriggle, worm, squirm, move,2,flex, bend, deform,  turn,change shape, change form, deform,3,turn,4, twine, distort,change shape, change form, deform,5,shape, form,6,wind,  curve,be,7,dance, trip the light fantastic, trip the light fantastic toe,8,wrench, pull,9, twist around, pervert, convolute, sophisticate,denote, refer,10, sprain, wrench, turn, wrick, rick,injure, wound
survey	  1, appraise,analyze, analyse, study, examine, canvass, canvas,2,examine, see,3,surveil, follow, 4,review, go over, inspect,5,analyze, analyse, study, examine, canvass, canvas,6,calculate, cipher, cypher, compute, work out, reckon, figure
revile	  1,vilify,  vituperate, rail,abuse, clapperclaw, blackguard, shout
spook	  1,frighten, fright, scare, affright
debilitate	  1,enfeeble,  drain,weaken
root	  1,grow,2,become,3,plant, set,4,rout,  rootle,dig, delve, cut into, turn over,5,side, pull, back, endorse, indorse, plump for, plunk for, support,6,settle,  take  steady down, settle down,stabilize, stabilise,7,grow
threaten	  1,endanger, jeopardize, jeopardise, menace,  imperil, peril,exist, be,2,warn,3,bode, portend, auspicate, prognosticate, omen, presage, betoken, foreshadow, augur, foretell, prefigure, forecast, predict
spiral	  1,gyrate,  coil,turn,2,wind, twist, curve,3,corkscrew, turn
respite	  1,reprieve, postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off
motion	  1,gesticulate, gesture, communicate, intercommunicate
down	  1,toss off, pop, bolt  belt  pour   drink  kill,drink, imbibe,2,devour,  consume, go through,eat,3,get the better of, overcome, defeat,4, shoot  land,5, knock  cut  push  pull strike,6,polish, refine, fine-tune, better, improve, amend, ameliorate, meliorate
barb	  1,change, alter, modify,2,change, alter, modify
edge	  1, inch,advance, progress, pass on, move on, march on, go on,2,border, supply, provide, render, furnish,3,border, adjoin,  abut, march, butt, butt against, butt on,touch, adjoin, meet, contact,4,sharpen
boost	  1,hike, hike up, raise, lift, elevate, get up, bring up,2,increase,3,promote, advance,  further, encourage,support, back up,4, advance, supercharge,increase,5,thrust
revert	  1, return, retrovert, regress, turn back,change by reversal, turn, reverse,2,mutate
cheer	  1, hearten, recreate, embolden,encourage,2,applaud,3, cheer up, jolly along, jolly up,4, cheer up, chirk up,rejoice, joy,5, inspire, urge, barrack, urge on, exhort, pep up,encourage
bulletproof	  1,proof
reheat	  1,heat, heat up
wire	  1,equip, fit, fit out, outfit,2,cable, telegraph, telecommunicate,3,fasten, fix, secure,4,string, thread, draw,5,electrify, adapt, accommodate
tighten	  1, fasten,change, alter, modify,2,change,3,stiffen,  tighten up, constrain,restrict, restrain, trammel, limit, bound, confine, throttle,4,reduce, restrict, restrain, trammel, limit, bound, confine, throttle
intend	  1, mean, think,will, wish,2, destine, designate, specify,plan,3,mean, convey, impart,4,mean,  signify, stand for
caption	  1,supply, provide, render, furnish
track	  1,bring in, introduce,2,observe,3,chase, chase after, trail, tail, tag, give chase, dog, go after, pursue, follow,4,traverse,  cover, cross, pass over, get over, get across, cut through, cut across,pass, go through, go across,5,make, create
wane	  1,decline, go down, decrease, diminish, lessen, fall,2,decrease, diminish, lessen, fall,3,decrease, diminish, lessen, fall
customize	  1,custom-make,  customise, tailor-make,produce, make, create,2, customise,construct, build, make,change, alter, modify
cost	  1, be,be,2,necessitate, ask, postulate, need, require, take, involve, call for, demand
engulf	  1,steep, immerse,  plunge, engross, absorb, soak up,concentrate, focus, center, centre, pore, rivet,2,envelop, enfold, enwrap, wrap, enclose
train	  1, develop, prepare, educate,teach, learn, instruct,2, prepare,learn, study, read, take,3,discipline,  check, condition,develop, make grow,4,prepare, groom, educate,5,educate, school,  cultivate, civilize, civilise,polish, refine, fine-tune, down,6,aim, take,  take aim, direct,position,7,coach, teach, learn, instruct,8,exercise, work out,9,control, hold in, hold, contain, check, curb, moderate,10, rail,ride,11,trail, drag
summer	  1,spend, pass
spray	  1,scatter, sprinkle, dot, dust, disperse,2,scatter, sprinkle, dot, dust, disperse,3,cover
scar	  1, mark, pock, pit,deface, disfigure, blemish
be	  1,2,3,4,exist, 5,6,equal, 7,constitute, represent, make up, comprise, 8, follow,9,embody,  personify,typify, symbolize, symbolise, stand for, represent,10,take, occupy, use up,11, live,12,stay, remain, rest,13,cost, be
exaggerate	  1,overstate,  overdraw, hyperbolize, hyerbolise, magnify, amplify,misinform, mislead,2,overdo, make, do
rest	  1,be,2, breathe, catch one's breath, take a breather,pause, intermit, break,3,4,lie, be,5,recumb, repose, recline,6,stay, remain, be,7, reside, repose,inhere in, attach to,8,put, set, place, pose, position, lay,9,perch, roost, sit, sit down,10,pillow, put, set, place, pose, position, lay,11,rest
recycle	  1,cycle,2, reprocess, reuse,use, utilize, utilise, apply, employ
sum	  1,summarize, summarise,  sum up,state, say, tell,2,total, tot, tot up,  sum up, summate, tote up, add, add together, tally, add up,count, number, enumerate, numerate
instrument	  1,equip, fit, fit out, outfit,2, instrumentate,compose, write,3,address, direct
contest	  1, contend, repugn,oppose
overthrow	  1, subvert, overturn, bring down,depose, force out,2,overrule, overturn, override,  reverse,rule, decree
sky	  1,flip, toss,  pitch,fling
starve	  1, hunger, famish,suffer, hurt,2, famish,die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,3, famish,deprive,4,crave, hunger, thirst,  lust,desire, want,5,deprive
crust	  1,change surface
traffic	  1,trade, merchandise,2,trade, merchandise
vacuum	  1, vacuum-clean, hoover,clean, make clean
boycott	  1,ostracize, ostracise
redistribute	  1,spread, distribute
correlate	  1,match, fit, correspond, check, jibe, gibe, tally, agree,2,associate, tie in, relate, link, colligate, link up, connect
clothe	  1,dress,  en garb, raiment, tog, garment, habilitate, fit out, apparel,change state, turn,2,invest,  adorn,equip, fit, fit out, outfit
pole	  1,punt, propel, impel,2,hold, support, sustain, hold up,3,deoxidize, deoxidise, reduce
shutter	  1,close, shut
inter	  1,bury, entomb, inhume,  lay to rest,lay, put down, repose
group	  1,classify, class, sort, assort, sort out, separate,2, agmeet, gather, assemble, forgather, foregather
equate	  1,compare, liken, study, consider,2, correspond,equal, be,3,equal, match, equalize, equalise, change, alter, modify
cushion	  1, buffer, soften,modify
dive	  1, plunge, plunk,descend, fall, go down, come down,2,submerge, submerse,3,swim
divine	  1,perceive, comprehend,2,search, seek, look for
think	  1, believe, consider, conceive,evaluate, pass judgment, judge,2, opine, suppose, imagine, reckon, guess,expect, anticipate,3, cogitate, cerebrate,4,remember, retrieve, recall, call back, call up, recollect, 5,imagine, conceive of, ideate, envisage,6,concentrate, focus, center, centre, pore, rivet,7,intend, mean, will, wish,8, cogitate, cerebrate,9, cogitate, cerebrate,10, believe, consider, conceive,11, cogitate, cerebrate,12,13,change, alter, modify
tote	  1,lug,  tug,transport, carry
strew	  1, straw,spread, distribute,2,cover, spread over
rivet	  1,concentrate, focus, center, centre, pore, think, cogitate, cerebrate,2,fasten, fix, secure,3,absorb, engross, engage, occupy
sear	  1, scorch,heat, heat up,2,scorch,  singe,burn, combust,3,char, blacken,  scorch,burn,4,parch, dry, dry out
beckon	  1, wave,gesticulate, gesture, motion,2,attract, appeal,3,summon
exit	  1, go out, get out, leave,move,2,play,3,die, decease, perish, go,  pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,change state, turn
refer	  1,mention, advert, bring up, cite, name, think of, have in mind, mean,2, pertain, relate, concern, come to, bear on, touch, touch on,3,classify, class, sort, assort, sort out, separate,4,send, direct,5,consult,  look up,research,6,denote, mean, intend
destroy	  1, destruct,unmake, undo,2, ruin,3,demolish, get the better of, overcome, defeat,4,kill
bias	  1,prejudice, prepossess,2, predetermine,prejudice, prepossess
lash	  1,flog, welt, whip, lather,  s strap, trounce,beat, beat up, work over,2,swing, sway,3,whip, strike,4,tie, bind
power	  1,provide, supply, ply, cater
relent	  1,yield,  soften
spring	  1,jump, leap, bound, move,2,form, take form, take shape, become,3,bounce, resile, take a hop,  bound, rebound, recoil, reverberate, ricochet,jump, leap, bound, 4,grow, develop, produce, get, acquire,5,unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, impart, break, give away, let out
confide	  1,unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, impart, break, give away, let out,2,entrust, intrust, trust,  commit,pass, hand, reach, pass on, turn over, give
bias	  1,prejudice, prepossess,2, predetermine,prejudice, prepossess
contract	  1, undertake,promise, assure,2,sign,  sign on, sign up,hire, engage, employ,3,compress, constrict, squeeze, compact,  press,tighten,4,shrink, decrease, diminish, lessen, fall,5, take, get,sicken, come down,6,shrink, reduce,7,condense, concentrate, change, alter, modify,8,narrow, change,9,abridge, foreshorten, abbreviate, shorten, cut,  reduce,decrease, lessen, minify
package	  1,box, encase, incase, case
rumpus	  1,agitate, foment, stir up
mean	  1, intend,convey, impart,2,entail, imply, necessitate,3, intend, signify, stand for,4,intend,  think,will, wish,5,6,think of, have in mind, associate, tie in, relate, link, colligate, link up, connect,7,intend, destine, designate, specify
burn	  1, fire, burn down,destroy, ruin,2, glow,shine, beam,3, combust,change state, turn,4,bite, sting, ache, smart, hurt,5, combust,6,feel, experience,7, incinerate,change integrity,8,execute, put to death,9,waste, blow, squander,10,ache, smart, hurt,11,cauterize, cauterise, treat, care for,12,sun discolor, discolour, colour, color,13,cut, produce, make, create,14,burn off,  burn up,consume, eat up, use up, eat, deplete, exhaust, run through, wipe out,15,damage
flaw	  1, blemish,damage
image	  1,visualize, visualise, envision, project, fancy, see, figure, picture, imagine, conceive of, ideate, envisage
sneer	  1,express, show, evince,2,smile
party	  1,celebrate, fete
lacquer	  1,decorate, adorn, grace, ornament, embellish, beautify
seal	  1,close, fill up,2, seal off,close, shut,3,decide, make up one's mind, determine,4,affix, stick on,5,varnish, coat, surface,6,hunt, run, hunt down, track down
bubble	  1,emit, breathe, pass off,2,ripple, babble, guggle, burble,  gurgle,sound, go,3,burp,  belch, eruct,emit, breathe, pass off
survive	  1, last, live, live on, go, endure, hold up, hold out,2, pull through, pull round, come through, make it,get the better of, overcome, defeat,3,exist,  live, subsist,4,outlive, outlast, survive
yearn	  1,hanker, long, desire, want,2,ache,  yen, pine, languish,hanker, long, 3,care for, cherish, hold dear, treasure
complete	  1, finish,end, terminate,2,fill, fill up, make full,3,dispatch, discharge, carry through, accomplish, execute, carry out, action, fulfill, fulfil,4, nail,play,5, fill out, fill in, make out
secrete	  1, release,exude, exudate, transude, ooze out, ooze,2,hide, conceal
outcrop	  1,appear
plunk	  1,clop, clump, clunk, sound, go,2,plank, flump, plonk, plop,  plump down, plunk down, plump,set down, put down, place down,3,dive, plunge, descend, fall, go down, come down,4,pluck,  pick,pull, draw, force
survive	  1, last, live, live on, go, endure, hold up, hold out,2, pull through, pull round, come through, make it,get the better of, overcome, defeat,3,exist,  live, subsist,4,outlive, outlast, survive
cord	  1,stack, pile, heap,2,tie, bind
buy	  1, purchase,get, acquire,2,bribe, corrupt,  grease one's palms,pay,3,get, acquire,4,believe,5,be
amplify	  1,magnify, enlarge,2,overstate, exaggerate, overdraw, hyperbolize, hyerbolise, magnify, misinform, mislead,3,inflate, blow up, expand, increase,4,intensify, compound, heighten, deepen
abuse	  1,mistreat, maltreat,  ill-use, step, ill-treat,treat, handle, do by,2,pervert, misuse, use, expend,3, clapperclaw, blackguard, shout,attack, round, assail, lash out, snipe, assault,4,use, expend
pull	  1, draw, force,move, displace,2,attract,  pull in, draw, draw in, draw, force,3,drive,4,force,5,perpetrate, commit, act, move,6,draw,  pull out, get out, take out,remove, take, take away, withdraw,7,drive,8, overstretch,injure, wound,9, draw,move, displace,10,row,11,rein, rein in,12,rend, rip, rive, tear, rupture, snap, bust,13,hit,14,pluck,  tear, deplume, deplumate, displume,strip,15,extract, pull out,  pull up, take out, draw out,remove, take, take away, withdraw,16,side,  root,back, endorse, indorse, plump for, plunk for, support,17,remove, take, take away, withdraw
rush	  1, hotfoot, hasten, hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along,travel, go, move, locomote,2,assail, assault, set on, attack,3, hurry,urge, urge on, press, exhort,4, hasten, hurry, look sharp, festinate,act, move,5,run,6,race, move, displace,7,induce, stimulate,  hasten,effect, effectuate, set up
rescue	  1, deliver,save, carry through, pull through, bring through,2,take
unveil	  1,uncover, expose,2,uncover, bring out,  reveal,show,3,remove, take, take away, withdraw
rag	  1,torment,  bedevil, crucify, dun, frustrate,harass, hassle, harry, chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke,2,annoy,  get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil,displease,3,play, spiel,4,tease, razz,  cod, tantalize, tantalise, bait, taunt, twit, rally, ride,mock, bemock,5,call on the carpet, take to task, rebuke,  trounce, reproof, lecture, reprimand, jaw, dress down, call down, scold, chide, berate, bawl out, remonstrate, chew out, chew up, have words, lambaste, lambast,knock, criticize, criticise, pick apart,6,break up, fragment, fragmentize, fragmentise
dirty	  1, soil, begrime, grime, colly, bemire,change, alter, modify
abuse	  1,mistreat, maltreat,  ill-use, step, ill-treat,treat, handle, do by,2,pervert, misuse, use, expend,3, clapperclaw, blackguard, shout,attack, round, assail, lash out, snipe, assault,4,use, expend
whiz	  1,whizz,  whirr, whir, birr, purr,sound, go
agree	  1, hold, concur, concord,2,accept, consent, go for,3,match, fit, correspond, check, jibe, gibe, tally, equal, be,4,harmonize, harmonise, consort, accord, concord, fit in, match, fit, correspond, check, jibe, gibe, tally, 5,6,suit,7,agree
rust	  1,corrode, decay, crumble, delapidate,2,corrode, eat, damage,3,oxidise, oxidize, oxidate
detail	  1,elaborate, lucubrate, expatiate, exposit, enlarge, flesh out, expand, expound, dilate,2,assign, specify, set apart
go	  1,travel,  move, locomote,2, proceed, move,act, move,3, go away, depart,exit, go out, get out, leave,4,become,  get,change state, turn,5,6,run, be,7,run,  pass, lead, extend,be,8,proceed, happen, hap, go on, pass off, occur, pass, fall out, come about, take place,9,disappear, vanish, go away,10,be,11,sound, cause to be perceived,12,function, work, operate,  run,13,run low, run short, end, stop, finish, terminate, cease,14,move,  run,change,15,survive, last, live, live on,  endure, hold up, hold out,16,17,die, decease, perish,  exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,change state, turn,18,belong, be,19,compare,20,start,  get going,21,move, 22,23,24,blend,  blend in,harmonize, harmonise, consort, accord, concord, fit in, agree,25, lead,be,26,fit, fit,27,rifle, search,28,29,plump, choose, take, select, pick out,30,fail, go bad, give way, die, give out, conk out,  break, break down,change
blink	  1, wink, nictitate, nictate,act involuntarily, act reflexively,2,wink,  blink away,suppress, stamp down, inhibit, subdue, conquer, curb,3,flash,  wink, twinkle, winkle,radiate
enrich	  1,better, improve, amend, ameliorate, meliorate,2,add
migrate	  1, transmove,2,move
watch	  1,2, observe, follow, watch over, keep an eye on,check, check up on, look into, check out, suss out, check over, go over, check into,3, view, see, catch, take in,4, look on,5, look out, watch out,6,7,determine, check, find out, see, ascertain,  learn
carve	  1,cut,shape, form, work, mold, mould, forge,2, chip at,cut,3, cut up,cut
watch	  1,2, observe, follow, watch over, keep an eye on,check, check up on, look into, check out, suss out, check over, go over, check into,3, view, see, catch, take in,4, look on,5, look out, watch out,6,7,determine, check, find out, see, ascertain,  learn
amuse	  1, divert, disport,entertain,2,cheer, cheer up, jolly along, jolly up
cream	  1,beat, scramble,2, bat, clobber, drub, thrash, lick,beat, beat out, crush, shell, trounce, vanquish,3,put on, apply,4,skim, skim off, cream off, remove, take, take away, withdraw,5,modify
extract	  1, pull out, pull, pull up, take out, draw out,remove, take, take away, withdraw,2,obtain,3,educe, evoke, elicit,  draw out,interpret, construe, see,4,distill,  distil,make, create,5,separate,6,press out, express, get, acquire,7,excerpt,  take out,choose, take, select, pick out,8,calculate, cipher, cypher, compute, work out, reckon, figure
graduate	  1,receive, have,2,confer, bestow,3,calibrate,  fine-tune,adjust, set, correct
clamour	  1,clamor, express, verbalize, verbalise, utter, give tongue to,2,clamor, demand
benefit	  1,profit, gain, get, acquire,2, do good,help, aid
