	0 || 0
blockade	0 || 1
blot	0 || 0
blot	1 || 0
blot	0 || 0
blot	1 || 0
blotch	0 || 0
blotch	1 || 0
blow	2 || 3
blow	7 || 15
blow	2 || 3
blow	7 || 15
blow	2 || 3
blow	7 || 15
blow	2 || 3
blow	7 || 15
blow	2 || 3
blow	7 || 15
bludgeon	0 || 0
bludgeon	0 || 0
blue	2 || 2
blue	0 || 0
blue	22 || 5
blunt	5 || 2
blunt	1 || 2
blur	3 || 2
blur	8 || 2
bluster	2 || 0
bluster	3 || 0
board	1 || 4
board	2 || 0
boast	0 || 0
boast	0 || 1
bob	1 || 2
bob	2 || 1
bob	1 || 2
bob	2 || 1
bobble	0 || 0
bobble	2 || 11
bode	1 || 0
bodge	2 || 11
body	2 || 4
body	0 || 0
boil	1 || 0
boil	1 || 0
boil	1 || 0
boil	1 || 0
bollix	2 || 11
bollix	2 || 11
bollock	0 || 0
bollocks	2 || 11
bollock	0 || 0
bollocks	2 || 11
bolster	0 || 0
bolster	0 || 2
bolster	0 || 0
bolster	0 || 2
bolt	2 || 1
bolt	2 || 3
bolt	0 || 0
bolt	2 || 1
bolt	2 || 3
bolt	0 || 0
bomb	2 || 2
bomb	1 || 0
bombard	0 || 0
bombard	2 || 0
bond	4 || 2
bond	1 || 0
bond	2 || 0
bonk	1 || 2
book	1 || 2
book	0 || 1
boom	1 || 1
boom	3 || 0
boom	1 || 1
boom	3 || 0
boost	0 || 2
boost	0 || 2
boot	1 || 7
boot	0 || 1
booze	3 || 1
booze	0 || 1
border	0 || 0
border	0 || 0
border	0 || 0
border	0 || 0
borrow	0 || 2
bosom	0 || 3
bosom	0 || 0
boss	1 || 1
boss	0 || 0
boss	0 || 1
boss	1 || 1
boss	0 || 0
boss	0 || 1
botch	0 || 0
botch	2 || 11
botch	0 || 0
botch	2 || 11
bother	4 || 0
bother	5 || 0
bottle	0 || 2
bottle	0 || 0
bottle	0 || 2
bottle	0 || 0
bottle-feed	0 || 0
bottom	0 || 1
bottom	0 || 0
bottom	0 || 0
bounce	0 || 1
bounce	1 || 1
bound	0 || 0
bound	1 || 0
bind	4 || 5
bound	3 || 2
bound	0 || 0
bound	1 || 0
bind	4 || 5
bound	3 || 2
bourgeon	0 || 0
bow	0 || 1
bow	3 || 2
bow	0 || 1
bow	3 || 2
box	4 || 2
box	0 || 0
brace	1 || 3
brace	1 || 4
bracket	0 || 1
bracket	0 || 0
bracket	0 || 1
bracket	0 || 0
brag	1 || 0
brag	0 || 0
brag	0 || 1
brake	1 || 1
brake	1 || 0
branch	0 || 2
